,amplitude_1,frequency_1,name,label,pred
15,0.14321886591340707,0.016666666666666666,Link_Error_0_range100-flw0-rtt,L,L
16,0.1563471072105518,2.867224084092094,Link_Error_0_range100-flw1-rtt,L,L
17,0.16437902124210296,4.995983114725573,Link_Error_0_range100-flw2-rtt,L,L
21,0.0982956632979905,0.5299999999999999,Link_Error_1_range100-flw0-rtt,L,L
22,0.14768014084491662,2.1113204268438714,Link_Error_1_range100-flw1-rtt,L,L
23,0.15310010208740865,0.06407709108082978,Link_Error_1_range100-flw2-rtt,L,L
0,0.08546828916763076,0.08999999999999998,Link_Error_6_range100-flw0-rtt,L,L
1,0.14377016122084316,1.8707733578900603,Link_Error_6_range100-flw1-rtt,L,L
2,0.14973104285609642,0.12474804687546096,Link_Error_6_range100-flw2-rtt,L,L
6,0.5913234619057609,0.16999999999999998,Normal_0_range100-flw0-rtt,N,N
7,0.5873707475548264,0.16407834198366628,Normal_0_range100-flw1-rtt,N,N
8,0.6935868040216379,0.07066951592694025,Normal_0_range100-flw2-rtt,N,N
18,0.572194591931221,0.11666666666666665,Normal_2_range100-flw0-rtt,N,N
19,0.6519036602861192,0.09051356491597677,Normal_2_range100-flw1-rtt,N,N
20,0.5893686831714291,0.1243706550733496,Normal_2_range100-flw2-rtt,N,N
3,0.5910948876939286,0.1633333333333333,Normal_4_range100-flw0-rtt,N,N
4,0.7060268862938665,0.07044194572327324,Normal_4_range100-flw1-rtt,N,N
5,0.5980671775216073,0.151210779997959,Normal_4_range100-flw2-rtt,N,N
12,0.32627116386908606,0.1633333333333333,TCP_Congestion_7_range100-flw0-rtt,T,T
13,0.41597018816862164,0.16482897496930735,TCP_Congestion_7_range100-flw1-rtt,T,L
14,0.3978678030811263,0.165173459267871,TCP_Congestion_7_range100-flw2-rtt,T,L
9,0.26013705812391713,0.48333333333333334,TCP_Congestion_8_range100-flw0-rtt,T,T
10,0.2554387355949819,0.4864501328394667,TCP_Congestion_8_range100-flw1-rtt,T,T
11,0.20907276647864473,0.48074041285112584,TCP_Congestion_8_range100-flw2-rtt,T,T
24,0.1679491707032011,0.04333333333333333,TCP_Congestion_9_range100-flw0-rtt,T,L
25,0.18102470739192095,0.03698251832996495,TCP_Congestion_9_range100-flw1-rtt,T,L
26,0.21950283411362495,0.043839263273761725,TCP_Congestion_9_range100-flw2-rtt,T,L
