,amplitude_1,frequency_1,name,label,pred
24,0.19880173442030677,0.16426535855121713,Link_Error_2_range100-flw0-rtt,L,T
25,0.1395986058066504,0.27,Link_Error_2_range100-flw1-rtt,L,L
26,0.13318078291603877,0.1990836550530823,Link_Error_2_range100-flw2-rtt,L,T
6,0.12406704428813432,0.056666666666666664,Link_Error_5_range100-flw0-rtt,L,L
7,0.5202398582788051,0.06375885354601407,Link_Error_5_range100-flw1-rtt,L,N
8,0.21947509487945083,0.11135939005829934,Link_Error_5_range100-flw2-rtt,L,T
3,0.26835606543167206,0.10333333333333332,Link_Error_9_range100-flw0-rtt,L,L
4,0.5543823633143998,0.06378882166703492,Link_Error_9_range100-flw1-rtt,L,N
5,0.2612803663129507,0.1250769772734794,Link_Error_9_range100-flw2-rtt,L,T
12,0.5910948876939286,0.1633333333333333,Normal_4_range100-flw0-rtt,N,N
13,0.7060268862938665,0.07044194572327324,Normal_4_range100-flw1-rtt,N,N
14,0.5980671775216073,0.151210779997959,Normal_4_range100-flw2-rtt,N,N
9,0.7492723637805765,0.03666666666666667,Normal_6_range100-flw0-rtt,N,N
10,0.5763260104956006,0.1239623056761033,Normal_6_range100-flw1-rtt,N,N
11,0.7730777977009231,0.04379495699722641,Normal_6_range100-flw2-rtt,N,N
15,0.6965826886089571,0.049999999999999996,Normal_8_range100-flw0-rtt,N,N
16,0.7021730712345211,0.06373746497919827,Normal_8_range100-flw1-rtt,N,N
17,0.5863824474941385,0.043937053343942656,Normal_8_range100-flw2-rtt,N,N
0,0.20008232378626029,0.23666666666666664,TCP_Congestion_1_range100-flw0-rtt,T,T
1,0.20272788765461064,0.2324344956641366,TCP_Congestion_1_range100-flw1-rtt,T,T
2,0.27848643107671545,0.11789361300572697,TCP_Congestion_1_range100-flw2-rtt,T,T
18,0.28426316491206677,0.2033333333333333,TCP_Congestion_4_range100-flw0-rtt,T,T
19,0.2663559228841584,0.2054855686306135,TCP_Congestion_4_range100-flw1-rtt,T,T
20,0.22352910094975115,0.20590173093484143,TCP_Congestion_4_range100-flw2-rtt,T,T
21,0.32627116386908606,0.1633333333333333,TCP_Congestion_7_range100-flw0-rtt,T,T
22,0.41597018816862164,0.16482897496930735,TCP_Congestion_7_range100-flw1-rtt,T,L
23,0.3978678030811263,0.165173459267871,TCP_Congestion_7_range100-flw2-rtt,T,L
