,amplitude_1,frequency_1,name,label,pred
3,0.0982956632979905,0.5299999999999999,Link_Error_1_range100-flw0-rtt,L,L
4,0.14768014084491662,2.1113204268438714,Link_Error_1_range100-flw1-rtt,L,L
5,0.15310010208740865,0.06407709108082978,Link_Error_1_range100-flw2-rtt,L,L
24,0.19880173442030677,0.16426535855121713,Link_Error_2_range100-flw0-rtt,L,T
25,0.1395986058066504,0.27,Link_Error_2_range100-flw1-rtt,L,L
26,0.13318078291603877,0.1990836550530823,Link_Error_2_range100-flw2-rtt,L,L
18,0.46636297121963594,0.056666666666666664,Link_Error_8_range100-flw0-rtt,L,T
19,0.41683130754137154,0.10395086034929568,Link_Error_8_range100-flw1-rtt,L,L
20,0.5878534971586465,0.06384026118327654,Link_Error_8_range100-flw2-rtt,L,N
0,0.572194591931221,0.11666666666666665,Normal_2_range100-flw0-rtt,N,N
1,0.6519036602861192,0.09051356491597677,Normal_2_range100-flw1-rtt,N,N
2,0.5893686831714291,0.1243706550733496,Normal_2_range100-flw2-rtt,N,N
12,0.5656066761898765,0.10999999999999999,Normal_3_range100-flw0-rtt,N,N
13,0.6039717878451101,0.050512222560354786,Normal_3_range100-flw1-rtt,N,N
14,0.5988103503941775,0.05067262333488493,Normal_3_range100-flw2-rtt,N,N
21,0.6965826886089571,0.049999999999999996,Normal_8_range100-flw0-rtt,N,N
22,0.7021730712345211,0.06373746497919827,Normal_8_range100-flw1-rtt,N,N
23,0.5863824474941385,0.043937053343942656,Normal_8_range100-flw2-rtt,N,N
6,0.20008232378626029,0.23666666666666664,TCP_Congestion_1_range100-flw0-rtt,T,T
7,0.20272788765461064,0.2324344956641366,TCP_Congestion_1_range100-flw1-rtt,T,T
8,0.27848643107671545,0.11789361300572697,TCP_Congestion_1_range100-flw2-rtt,T,L
15,0.13003774150734174,0.15,TCP_Congestion_2_range100-flw0-rtt,T,L
16,0.13094347227582695,0.45982747474531854,TCP_Congestion_2_range100-flw1-rtt,T,L
17,0.21083390279617126,0.44938834698173047,TCP_Congestion_2_range100-flw2-rtt,T,T
9,0.26013705812391713,0.48333333333333334,TCP_Congestion_8_range100-flw0-rtt,T,T
10,0.2554387355949819,0.4864501328394667,TCP_Congestion_8_range100-flw1-rtt,T,T
11,0.20907276647864473,0.48074041285112584,TCP_Congestion_8_range100-flw2-rtt,T,T
