,amplitude_1,frequency_1,name,label,pred
0,0.19880173442030677,0.16426535855121713,Link_Error_2_range100-flw0-rtt,L,T
1,0.1395986058066504,0.27,Link_Error_2_range100-flw1-rtt,L,T
2,0.13318078291603877,0.1990836550530823,Link_Error_2_range100-flw2-rtt,L,T
3,0.10075525543649647,0.29,Link_Error_7_range100-flw0-rtt,L,T
4,0.1380864719373661,0.16459737533697114,Link_Error_7_range100-flw1-rtt,L,T
5,0.14058111872541215,1.2657893295174678,Link_Error_7_range100-flw2-rtt,L,L
6,0.26835606543167206,0.10333333333333332,Link_Error_9_range100-flw0-rtt,L,L
7,0.5543823633143998,0.06378882166703492,Link_Error_9_range100-flw1-rtt,L,N
8,0.2612803663129507,0.1250769772734794,Link_Error_9_range100-flw2-rtt,L,T
21,0.5913234619057609,0.16999999999999998,Normal_0_range100-flw0-rtt,N,N
22,0.5873707475548264,0.16407834198366628,Normal_0_range100-flw1-rtt,N,N
23,0.6935868040216379,0.07066951592694025,Normal_0_range100-flw2-rtt,N,N
24,0.5822718280148793,0.18333333333333332,Normal_5_range100-flw0-rtt,N,N
25,0.7083118274527103,0.0503562148280723,Normal_5_range100-flw1-rtt,N,N
26,0.7049712537162663,0.07067427260944863,Normal_5_range100-flw2-rtt,N,N
9,0.7297765628848887,0.03666666666666667,Normal_9_range100-flw0-rtt,N,N
10,0.7600128356048388,0.0369626351106122,Normal_9_range100-flw1-rtt,N,N
11,0.7534007711551179,0.03707725649739314,Normal_9_range100-flw2-rtt,N,N
18,0.28426316491206677,0.2033333333333333,TCP_Congestion_4_range100-flw0-rtt,T,T
19,0.2663559228841584,0.2054855686306135,TCP_Congestion_4_range100-flw1-rtt,T,T
20,0.22352910094975115,0.20590173093484143,TCP_Congestion_4_range100-flw2-rtt,T,T
12,0.3017883227294878,0.2966666666666667,TCP_Congestion_5_range100-flw0-rtt,T,T
13,0.30457718164917175,0.2931485818869961,TCP_Congestion_5_range100-flw1-rtt,T,T
14,0.2255623373433975,0.12439574347351846,TCP_Congestion_5_range100-flw2-rtt,T,T
15,0.18934193796211232,0.24999999999999997,TCP_Congestion_6_range100-flw0-rtt,T,T
16,0.1466211496528292,0.29900103753360024,TCP_Congestion_6_range100-flw1-rtt,T,T
17,0.27420687390785486,0.3004545675052714,TCP_Congestion_6_range100-flw2-rtt,T,T
