,amplitude_1,frequency_1,name,label,pred
0,0.2538743914131486,0.02333333333333333,Link_Error_3_range100-flw0-rtt,L,L
1,0.11176617326577862,2.532725582068142,Link_Error_3_range100-flw1-rtt,L,L
2,0.33923195062203254,4.633669241118876,Link_Error_3_range100-flw2-rtt,L,L
3,0.08546828916763076,0.08999999999999998,Link_Error_6_range100-flw0-rtt,L,L
4,0.14377016122084316,1.8707733578900603,Link_Error_6_range100-flw1-rtt,L,L
5,0.14973104285609642,0.12474804687546096,Link_Error_6_range100-flw2-rtt,L,L
9,0.26835606543167206,0.10333333333333332,Link_Error_9_range100-flw0-rtt,L,L
10,0.5543823633143998,0.06378882166703492,Link_Error_9_range100-flw1-rtt,L,L
11,0.2612803663129507,0.1250769772734794,Link_Error_9_range100-flw2-rtt,L,T
12,0.5913234619057609,0.16999999999999998,Normal_0_range100-flw0-rtt,N,N
13,0.5873707475548264,0.16407834198366628,Normal_0_range100-flw1-rtt,N,N
14,0.6935868040216379,0.07066951592694025,Normal_0_range100-flw2-rtt,N,N
6,0.6965826886089571,0.049999999999999996,Normal_8_range100-flw0-rtt,N,N
7,0.7021730712345211,0.06373746497919827,Normal_8_range100-flw1-rtt,N,N
8,0.5863824474941385,0.043937053343942656,Normal_8_range100-flw2-rtt,N,N
24,0.7297765628848887,0.03666666666666667,Normal_9_range100-flw0-rtt,N,N
25,0.7600128356048388,0.0369626351106122,Normal_9_range100-flw1-rtt,N,N
26,0.7534007711551179,0.03707725649739314,Normal_9_range100-flw2-rtt,N,N
15,0.3694904311485708,0.06333333333333332,TCP_Congestion_0_range100-flw0-rtt,T,L
16,0.2835015470128425,0.20540253796049354,TCP_Congestion_0_range100-flw1-rtt,T,T
17,0.2040324349654924,0.19844084022811548,TCP_Congestion_0_range100-flw2-rtt,T,T
21,0.32627116386908606,0.1633333333333333,TCP_Congestion_7_range100-flw0-rtt,T,T
22,0.41597018816862164,0.16482897496930735,TCP_Congestion_7_range100-flw1-rtt,T,L
23,0.3978678030811263,0.165173459267871,TCP_Congestion_7_range100-flw2-rtt,T,T
18,0.1679491707032011,0.04333333333333333,TCP_Congestion_9_range100-flw0-rtt,T,L
19,0.18102470739192095,0.03698251832996495,TCP_Congestion_9_range100-flw1-rtt,T,L
20,0.21950283411362495,0.043839263273761725,TCP_Congestion_9_range100-flw2-rtt,T,L
