,0,1,2,name,label,pred
15,0.1482921519118241,0.13666666666666666,2651.0,Link_Error_1_range50-flw0-rtt,L,L
16,0.26673465397366747,0.06369473086679847,2651.0,Link_Error_1_range50-flw1-rtt,L,L
17,0.08880607607162505,0.17157977502392613,2651.0,Link_Error_1_range50-flw2-rtt,L,T
6,0.32373749499401605,0.09666666666666665,1336.0,Link_Error_2_range50-flw0-rtt,L,U
7,0.21693436456718784,2.465798949220745,1336.0,Link_Error_2_range50-flw1-rtt,L,T
8,0.14890646809206837,0.03027470968824012,1336.0,Link_Error_2_range50-flw2-rtt,L,U
3,0.24987401214091975,0.08999999999999998,3136.0,Link_Error_4_range50-flw0-rtt,L,L
4,0.2517213984289615,0.31804717161822027,3136.0,Link_Error_4_range50-flw1-rtt,L,T
5,0.25133606070635595,0.06387962765035735,3136.0,Link_Error_4_range50-flw2-rtt,L,L
30,0.7105115647868145,0.056666666666666664,1734.0,Normal_2_range50-flw0-rtt,N,N
31,0.5970483937936988,0.11058320476360277,1734.0,Normal_2_range50-flw1-rtt,N,N
32,0.6170457180726924,0.10424448924117848,1734.0,Normal_2_range50-flw2-rtt,N,N
9,0.6218253058115922,0.08999999999999998,1780.0,Normal_5_range50-flw0-rtt,N,N
10,0.5861913866514838,0.11726949834085437,1780.0,Normal_5_range50-flw1-rtt,N,N
11,0.5981044222942331,0.11095501570971719,1780.0,Normal_5_range50-flw2-rtt,N,N
24,0.6381170019214999,0.08333333333333331,1866.0,Normal_9_range50-flw0-rtt,N,N
25,0.5959139529922949,0.19751080810944566,1866.0,Normal_9_range50-flw1-rtt,N,N
26,0.7372335729109982,0.05723947545340651,1866.0,Normal_9_range50-flw2-rtt,N,N
12,0.12432781482746624,0.36333333333333334,1995.0,TCP_Congestion_1_range50-flw0-rtt,T,T
13,0.10860771139019025,0.3116018098771273,1995.0,TCP_Congestion_1_range50-flw1-rtt,T,T
14,0.13136642773835014,0.7513532022791406,1995.0,TCP_Congestion_1_range50-flw2-rtt,T,T
27,0.2923624087160855,0.43666666666666665,1941.0,TCP_Congestion_7_range50-flw0-rtt,T,T
28,0.22641756063889587,0.4389229795043406,1941.0,TCP_Congestion_7_range50-flw1-rtt,T,T
29,0.39390930473435953,0.44116978964923403,1941.0,TCP_Congestion_7_range50-flw2-rtt,T,T
33,0.2749325497799579,0.33666666666666667,2012.0,TCP_Congestion_9_range50-flw0-rtt,T,T
34,0.19250903686902798,0.3388831545310876,2012.0,TCP_Congestion_9_range50-flw1-rtt,T,T
35,0.19641316185028582,0.33990959683591954,2012.0,TCP_Congestion_9_range50-flw2-rtt,T,T
0,0.14363958245677852,0.24333333333333332,1745.0,UDP_Congestion_2_range50-flw0-rtt,U,U
1,0.11757144178923941,0.2449027764493573,1745.0,UDP_Congestion_2_range50-flw1-rtt,U,U
2,0.21044530405304077,0.24595867159810433,1745.0,UDP_Congestion_2_range50-flw2-rtt,U,U
21,0.06527132341443811,0.18999999999999997,2293.0,UDP_Congestion_4_range50-flw0-rtt,U,U
22,0.1335500031126267,0.1575712147295694,2293.0,UDP_Congestion_4_range50-flw1-rtt,U,T
23,0.12856895996448017,0.1043155266056414,2293.0,UDP_Congestion_4_range50-flw2-rtt,U,L
18,0.1964702373481483,0.15666666666666665,1665.0,UDP_Congestion_7_range50-flw0-rtt,U,U
19,0.15602703816874125,0.3115391800885059,1665.0,UDP_Congestion_7_range50-flw1-rtt,U,U
20,0.1779631347308705,0.15161835920431088,1665.0,UDP_Congestion_7_range50-flw2-rtt,U,U
