,0,1,name,label,pred
21,0.2946277338416856,0.04333333333333333,Link_Error_0_range50-flw0-rtt,L,L
22,0.22034856734189556,0.09712059863261564,Link_Error_0_range50-flw1-rtt,L,L
23,0.2362133804285677,0.09078137648976861,Link_Error_0_range50-flw2-rtt,L,L
24,0.1482921519118241,0.13666666666666666,Link_Error_1_range50-flw0-rtt,L,L
25,0.26673465397366747,0.06369473086679847,Link_Error_1_range50-flw1-rtt,L,L
26,0.08880607607162505,0.17157977502392613,Link_Error_1_range50-flw2-rtt,L,T
9,0.08675801734329462,0.056666666666666664,Link_Error_8_range50-flw0-rtt,L,L
10,0.35203690242388946,0.03685365844424693,Link_Error_8_range50-flw1-rtt,L,L
11,0.31695614860491406,0.1381225566835602,Link_Error_8_range50-flw2-rtt,L,L
15,0.6218253058115922,0.08999999999999998,Normal_5_range50-flw0-rtt,N,N
16,0.5861913866514838,0.11726949834085437,Normal_5_range50-flw1-rtt,N,N
17,0.5981044222942331,0.11095501570971719,Normal_5_range50-flw2-rtt,N,N
12,0.4752816935092991,0.17666666666666664,Normal_6_range50-flw0-rtt,N,T
13,0.7808238655434471,0.0436567087616966,Normal_6_range50-flw1-rtt,N,N
14,0.585677301901523,0.20487823129496172,Normal_6_range50-flw2-rtt,N,N
33,0.577115556695574,0.12333333333333332,Normal_8_range50-flw0-rtt,N,N
34,0.6519665815744221,0.09051356491597677,Normal_8_range50-flw1-rtt,N,N
35,0.7806672455961404,0.04380381108656264,Normal_8_range50-flw2-rtt,N,N
30,0.10700017930156976,0.5366666666666666,TCP_Congestion_0_range50-flw0-rtt,T,T
31,0.19342868142914169,0.5462140114080984,TCP_Congestion_0_range50-flw1-rtt,T,T
32,0.24999286885854316,0.548714706493345,TCP_Congestion_0_range50-flw2-rtt,T,T
27,0.12432781482746624,0.36333333333333334,TCP_Congestion_1_range50-flw0-rtt,T,T
28,0.10860771139019025,0.3116018098771273,TCP_Congestion_1_range50-flw1-rtt,T,T
29,0.13136642773835014,0.7513532022791406,TCP_Congestion_1_range50-flw2-rtt,T,T
18,0.20461595921209152,0.6099999999999999,TCP_Congestion_2_range50-flw0-rtt,T,T
19,0.3135834906458596,0.6136454014168099,TCP_Congestion_2_range50-flw1-rtt,T,T
20,0.23393636070312065,0.6153373748557613,TCP_Congestion_2_range50-flw2-rtt,T,T
3,0.03802346292382121,0.43666666666666665,UDP_Congestion_3_range50-flw0-rtt,T,T
4,0.2001649517098655,0.21111506048932382,UDP_Congestion_3_range50-flw1-rtt,T,T
5,0.08625387673894813,0.2252877268929019,UDP_Congestion_3_range50-flw2-rtt,T,T
0,0.1964702373481483,0.15666666666666665,UDP_Congestion_7_range50-flw0-rtt,T,T
1,0.15602703816874125,0.3115391800885059,UDP_Congestion_7_range50-flw1-rtt,T,T
2,0.1779631347308705,0.15161835920431088,UDP_Congestion_7_range50-flw2-rtt,T,T
6,0.15915689034751665,0.3433333333333333,UDP_Congestion_9_range50-flw0-rtt,T,T
7,0.17790677154633544,0.345640518357421,UDP_Congestion_9_range50-flw1-rtt,T,T
8,0.12242020977464418,0.33970422256048394,UDP_Congestion_9_range50-flw2-rtt,T,T
