,0,1,2,name,label,pred
9,0.37021200687714195,0.08999999999999998,3279.0,Link_Error_0_range10-flw0-rtt,L,L
10,0.15925570557854304,0.3314608251975046,3279.0,Link_Error_0_range10-flw1-rtt,L,L
11,0.4283476971218321,0.06381453105908644,3279.0,Link_Error_0_range10-flw2-rtt,L,L
21,0.29159818375828095,0.07666666666666666,2604.0,Link_Error_4_range10-flw0-rtt,L,L
22,0.39706690582329546,0.11721451559108785,2604.0,Link_Error_4_range10-flw1-rtt,L,L
23,0.14901229933434457,0.13102292655966755,2604.0,Link_Error_4_range10-flw2-rtt,L,L
3,0.16936675995945422,0.16999999999999998,2846.0,Link_Error_9_range10-flw0-rtt,L,L
4,0.2839459183422086,0.07030516425244869,2846.0,Link_Error_9_range10-flw1-rtt,L,L
5,0.21090765819880206,0.030227935764830415,2846.0,Link_Error_9_range10-flw2-rtt,L,L
12,0.5914766441223195,0.16999999999999998,2034.0,Normal_0_range10-flw0-rtt,N,N
13,0.57646122693951,0.2041924184827881,2034.0,Normal_0_range10-flw1-rtt,N,N
14,0.5934849625421289,0.21829820562569252,2034.0,Normal_0_range10-flw2-rtt,N,N
0,0.5918353318887168,0.15,1847.0,Normal_6_range10-flw0-rtt,N,N
1,0.5929254371935974,0.16407834198366628,1847.0,Normal_6_range10-flw1-rtt,N,N
2,0.5874884076827961,0.1579206460849472,1847.0,Normal_6_range10-flw2-rtt,N,N
18,0.47537496521308675,0.17666666666666664,2685.0,Normal_9_range10-flw0-rtt,N,N
19,0.585253673266333,0.15739180744833625,2685.0,Normal_9_range10-flw1-rtt,N,N
20,0.5921110130372428,0.2115813377602866,2685.0,Normal_9_range10-flw2-rtt,N,N
15,0.05222201997065502,1.6433333333333333,2194.0,TCP_Congestion_4_range10-flw0-rtt,T,T
16,0.07252173928100025,0.793709719859652,2194.0,TCP_Congestion_4_range10-flw1-rtt,T,T
17,0.10806043028683969,0.5004402698844147,2194.0,TCP_Congestion_4_range10-flw2-rtt,T,T
24,0.10037237285747526,0.37666666666666665,2153.0,TCP_Congestion_5_range10-flw0-rtt,T,T
25,0.060272956751404344,0.59277055027493,2153.0,TCP_Congestion_5_range10-flw1-rtt,T,T
26,0.13653022536979648,1.2870582462409919,2153.0,TCP_Congestion_5_range10-flw2-rtt,T,T
6,0.03868874171016264,0.36333333333333334,2258.0,TCP_Congestion_8_range10-flw0-rtt,T,T
7,0.07875636434042621,0.3314386314758295,2258.0,TCP_Congestion_8_range10-flw1-rtt,T,T
8,0.09184164888003142,1.4483605851954764,2258.0,TCP_Congestion_8_range10-flw2-rtt,T,T
