,0,1,2,name,label,pred
15,0.15042655364290222,0.09666666666666665,36000.0,Link_Error_2_range10-flw0-rtt,L,L
16,0.17633845050435604,0.11052394613491563,169920.0,Link_Error_2_range10-flw1-rtt,L,L
17,0.35025090504820927,0.030226200796279037,36000.0,Link_Error_2_range10-flw2-rtt,L,L
21,0.2614720567848309,0.12999999999999998,30240.0,Link_Error_5_range10-flw0-rtt,L,L
22,0.1589519424032332,0.19086664271569342,31680.0,Link_Error_5_range10-flw1-rtt,L,L
23,0.26051497101149884,0.09068380729449124,30240.0,Link_Error_5_range10-flw2-rtt,L,L
9,0.1406758731397391,0.21666666666666665,36000.0,Link_Error_8_range10-flw0-rtt,L,L
10,0.2047134140033716,0.14399676000592465,169920.0,Link_Error_8_range10-flw1-rtt,L,L
11,0.2582696968658807,0.0705271125867622,36000.0,Link_Error_8_range10-flw2-rtt,L,L
6,0.5914766441223195,0.16999999999999998,30240.0,Normal_0_range10-flw0-rtt,N,N
7,0.57646122693951,0.2041924184827881,30240.0,Normal_0_range10-flw1-rtt,N,N
8,0.5934849625421289,0.21829820562569252,30240.0,Normal_0_range10-flw2-rtt,N,N
0,0.4753795280461344,0.17666666666666664,30240.0,Normal_7_range10-flw0-rtt,N,N
1,0.5882940757787359,0.2175675194855981,30240.0,Normal_7_range10-flw1-rtt,N,N
2,0.5700812221685895,0.14450001198005913,30240.0,Normal_7_range10-flw2-rtt,N,N
12,0.573019601404037,0.18333333333333332,36000.0,Normal_8_range10-flw0-rtt,N,N
13,0.47084373172932753,0.17744974054169443,169920.0,Normal_8_range10-flw1-rtt,N,N
14,0.6003091705943192,0.17133899712866074,36000.0,Normal_8_range10-flw2-rtt,N,N
3,0.10037237285747526,0.37666666666666665,30240.0,TCP_Congestion_5_range10-flw0-rtt,T,T
4,0.060272956751404344,0.59277055027493,30240.0,TCP_Congestion_5_range10-flw1-rtt,T,T
5,0.13653022536979648,1.2870582462409919,30240.0,TCP_Congestion_5_range10-flw2-rtt,T,T
18,0.11718951164775239,1.2033333333333334,30240.0,TCP_Congestion_6_range10-flw0-rtt,T,T
19,0.11619105617375924,1.2090649865061982,31680.0,TCP_Congestion_6_range10-flw1-rtt,T,T
20,0.15313185103551968,1.2131280075535196,30240.0,TCP_Congestion_6_range10-flw2-rtt,T,T
24,0.05355504513532245,1.4633333333333334,30240.0,TCP_Congestion_9_range10-flw0-rtt,T,T
25,0.05930054545820566,1.4629190363360636,31680.0,TCP_Congestion_9_range10-flw1-rtt,T,T
26,0.09150965697429897,0.9105637252983128,30240.0,TCP_Congestion_9_range10-flw2-rtt,T,T
