,0,1,2,3,name,label,pred
9,0.2946277338416856,0.04333333333333333,0.10984951031739668,0.15666666666666665,Link_Error_0_range50-flw0-rtt,L,L
10,0.22034856734189556,0.09712059863261564,0.1542726358869715,0.18419423878599517,Link_Error_0_range50-flw1-rtt,L,L
11,0.2362133804285677,0.09078137648976861,0.22132173870388105,0.13785320133631532,Link_Error_0_range50-flw2-rtt,L,L
27,0.11586214001659301,0.056666666666666664,0.10576548060049829,0.23666666666666664,Link_Error_5_range50-flw0-rtt,L,L
28,0.2638779780433013,0.09048323173127633,0.23154891545655015,0.20442507909658725,Link_Error_5_range50-flw1-rtt,L,L
29,0.12838702363461837,0.05713559180020907,0.08810763521678983,0.13107576942400903,Link_Error_5_range50-flw2-rtt,L,L
3,0.3177258069000951,0.06333333333333332,0.26064389632046414,0.11666666666666665,Link_Error_7_range50-flw0-rtt,L,L
4,0.44097750432933475,0.07715587865902948,0.22392463372377852,0.12412032653843873,Link_Error_7_range50-flw1-rtt,L,L
5,0.1013877915047222,0.05044427449581535,0.09463811459236858,0.2522213724790768,Link_Error_7_range50-flw2-rtt,L,L
21,0.6812009266516337,0.07666666666666666,0.19870498124191766,0.15666666666666665,Normal_0_range50-flw0-rtt,N,N
22,0.6508112669729457,0.08382009618993069,0.23856861824174416,0.17099299622745862,Normal_0_range50-flw1-rtt,N,N
23,0.655077832391928,0.08410207394705128,0.24465308075797204,0.1715682308519846,Normal_0_range50-flw2-rtt,N,N
0,0.5954197428952538,0.10999999999999999,0.19153974144922237,0.2233333333333333,Normal_7_range50-flw0-rtt,N,N
1,0.5979005320159907,0.15070437718854152,0.16166087026409987,0.3047577405368284,Normal_7_range50-flw1-rtt,N,N
2,0.5964666753230669,0.1914693163870224,0.14596479716062546,0.3862977435878522,Normal_7_range50-flw2-rtt,N,N
30,0.6381170019214999,0.08333333333333331,0.213117749452631,0.1633333333333333,Normal_9_range50-flw0-rtt,N,N
31,0.5959139529922949,0.19751080810944566,0.12404481706880344,0.39836925703430565,Normal_9_range50-flw1-rtt,N,N
32,0.7372335729109982,0.05723947545340651,0.22112051520997023,0.11111192293896557,Normal_9_range50-flw2-rtt,N,N
33,0.12432781482746624,0.36333333333333334,0.09723782851016638,0.2966666666666667,TCP_Congestion_1_range50-flw0-rtt,T,T
34,0.10860771139019025,0.3116018098771273,0.08291077941224567,0.21778621120444383,TCP_Congestion_1_range50-flw1-rtt,T,T
35,0.13136642773835014,0.7513532022791406,0.11022434146534213,0.7041830460822439,TCP_Congestion_1_range50-flw2-rtt,T,T
6,0.20461595921209152,0.6099999999999999,0.06827799872321243,0.3833333333333333,TCP_Congestion_2_range50-flw0-rtt,T,T
7,0.3135834906458596,0.6136454014168099,0.09836040583220411,0.11736387458791447,TCP_Congestion_2_range50-flw1-rtt,T,T
8,0.23393636070312065,0.6153373748557613,0.07263661754133414,0.18493746238834358,TCP_Congestion_2_range50-flw2-rtt,T,T
15,0.19272096153006116,0.43666666666666665,0.08809848842796146,0.39,TCP_Congestion_5_range50-flw0-rtt,T,T
16,0.39288837278500877,0.4464917714755744,0.08953093276221204,0.37263598972773504,TCP_Congestion_5_range50-flw1-rtt,T,T
17,0.3343602484407545,0.44799572942176247,0.0772406737182847,0.3941015063334301,TCP_Congestion_5_range50-flw2-rtt,T,T
18,0.16268684977740064,0.1633333333333333,0.12434573391878612,0.2833333333333333,UDP_Congestion_1_range50-flw0-rtt,T,T
19,0.11814378475658073,0.08390449077978586,0.11178602169495071,0.2852752686512719,UDP_Congestion_1_range50-flw1-rtt,T,T
20,0.2564067616477469,0.08420972357551926,0.1355024440184099,0.2391556149544747,UDP_Congestion_1_range50-flw2-rtt,T,L
24,0.03802346292382121,0.43666666666666665,0.03800426551791571,0.5833333333333333,UDP_Congestion_3_range50-flw0-rtt,T,T
25,0.2001649517098655,0.21111506048932382,0.04765644474481358,0.3719646303859515,UDP_Congestion_3_range50-flw1-rtt,T,T
26,0.08625387673894813,0.2252877268929019,0.08580519300541863,0.37996288267011813,UDP_Congestion_3_range50-flw2-rtt,T,T
12,0.12153589859792635,0.5366666666666666,0.07790448504583632,0.6166666666666666,UDP_Congestion_6_range50-flw0-rtt,T,T
13,0.12617559241369997,0.538934088126703,0.08299029316086626,0.6192720888412425,UDP_Congestion_6_range50-flw1-rtt,T,T
14,0.07295587768378077,0.6432374010420514,0.0652270151951797,0.5624117590262963,UDP_Congestion_6_range50-flw2-rtt,T,T
