,amplitude_1,frequency_1,name,label,pred
9,0.11586214001659301,0.056666666666666664,Link_Error_5_range50-flw0-rtt,L,L
10,0.2638779780433013,0.09048323173127633,Link_Error_5_range50-flw1-rtt,L,L
11,0.12838702363461837,0.05713559180020907,Link_Error_5_range50-flw2-rtt,L,L
24,0.17850810985565316,0.04333333333333333,Link_Error_6_range50-flw0-rtt,L,L
25,0.5025535092208699,0.036831446876849,Link_Error_6_range50-flw1-rtt,L,N
26,0.33031315950732815,0.06391757619975898,Link_Error_6_range50-flw2-rtt,L,L
21,0.26498018407602486,0.06333333333333332,Link_Error_9_range50-flw0-rtt,L,L
22,0.328711563590175,0.056917515437955334,Link_Error_9_range50-flw1-rtt,L,L
23,0.17340228615941122,0.13105815040051874,Link_Error_9_range50-flw2-rtt,L,L
12,0.7105115647868145,0.056666666666666664,Normal_2_range50-flw0-rtt,N,N
13,0.5970483937936988,0.11058320476360277,Normal_2_range50-flw1-rtt,N,N
14,0.6170457180726924,0.10424448924117848,Normal_2_range50-flw2-rtt,N,N
6,0.5954197428952538,0.10999999999999999,Normal_7_range50-flw0-rtt,N,N
7,0.5979005320159907,0.15070437718854152,Normal_7_range50-flw1-rtt,N,N
8,0.5964666753230669,0.1914693163870224,Normal_7_range50-flw2-rtt,N,N
15,0.6381170019214999,0.08333333333333331,Normal_9_range50-flw0-rtt,N,N
16,0.5959139529922949,0.19751080810944566,Normal_9_range50-flw1-rtt,N,N
17,0.7372335729109982,0.05723947545340651,Normal_9_range50-flw2-rtt,N,N
0,0.23625123462739805,0.5233333333333333,TCP_Congestion_3_range50-flw0-rtt,T,T
1,0.3210381072060153,0.5264608088657877,TCP_Congestion_3_range50-flw1-rtt,T,T
2,0.44482384446306006,0.5285166191377617,TCP_Congestion_3_range50-flw2-rtt,T,T
18,0.19272096153006116,0.43666666666666665,TCP_Congestion_5_range50-flw0-rtt,T,T
19,0.39288837278500877,0.4464917714755744,TCP_Congestion_5_range50-flw1-rtt,T,T
20,0.3343602484407545,0.44799572942176247,TCP_Congestion_5_range50-flw2-rtt,T,T
3,0.20554944733340805,0.7299999999999999,TCP_Congestion_8_range50-flw0-rtt,T,T
4,0.12395107584230242,0.7270221711274166,TCP_Congestion_8_range50-flw1-rtt,T,T
5,0.19493368098599437,0.7299568891497896,TCP_Congestion_8_range50-flw2-rtt,T,T
