,amplitude_1,frequency_1,name,label,pred
0,0.32373749499401605,0.09666666666666665,Link_Error_2_range50-flw0-rtt,L,L
1,0.21693436456718784,2.465798949220745,Link_Error_2_range50-flw1-rtt,L,T
2,0.14890646809206837,0.03027470968824012,Link_Error_2_range50-flw2-rtt,L,L
9,0.08675801734329462,0.056666666666666664,Link_Error_8_range50-flw0-rtt,L,L
10,0.35203690242388946,0.03685365844424693,Link_Error_8_range50-flw1-rtt,L,L
11,0.31695614860491406,0.1381225566835602,Link_Error_8_range50-flw2-rtt,L,L
12,0.26498018407602486,0.06333333333333332,Link_Error_9_range50-flw0-rtt,L,L
13,0.328711563590175,0.056917515437955334,Link_Error_9_range50-flw1-rtt,L,L
14,0.17340228615941122,0.13105815040051874,Link_Error_9_range50-flw2-rtt,L,L
15,0.5878082536086505,0.16999999999999998,Normal_1_range50-flw0-rtt,N,N
16,0.7392981497350808,0.043644983245866,Normal_1_range50-flw1-rtt,N,N
17,0.5975677650490292,0.14450001198005913,Normal_1_range50-flw2-rtt,N,N
6,0.7803203543239953,0.04333333333333333,Normal_4_range50-flw0-rtt,N,N
7,0.6192919954090449,0.10389511848115525,Normal_4_range50-flw1-rtt,N,N
8,0.605740091384786,0.10424448924117848,Normal_4_range50-flw2-rtt,N,N
21,0.6218253058115922,0.08999999999999998,Normal_5_range50-flw0-rtt,N,N
22,0.5861913866514838,0.11726949834085437,Normal_5_range50-flw1-rtt,N,N
23,0.5981044222942331,0.11095501570971719,Normal_5_range50-flw2-rtt,N,N
24,0.10700017930156976,0.5366666666666666,TCP_Congestion_0_range50-flw0-rtt,T,T
25,0.19342868142914169,0.5462140114080984,TCP_Congestion_0_range50-flw1-rtt,T,T
26,0.24999286885854316,0.548714706493345,TCP_Congestion_0_range50-flw2-rtt,T,T
18,0.12432781482746624,0.36333333333333334,TCP_Congestion_1_range50-flw0-rtt,T,T
19,0.10860771139019025,0.3116018098771273,TCP_Congestion_1_range50-flw1-rtt,T,L
20,0.13136642773835014,0.7513532022791406,TCP_Congestion_1_range50-flw2-rtt,T,T
3,0.14502338856532113,0.1633333333333333,TCP_Congestion_6_range50-flw0-rtt,T,L
4,0.11443819590100436,0.30500288864548986,TCP_Congestion_6_range50-flw1-rtt,T,L
5,0.24592036980802381,0.1578888155695034,TCP_Congestion_6_range50-flw2-rtt,T,L
