,amplitude_1,frequency_1,name,label,pred
6,0.2946277338416856,0.04333333333333333,Link_Error_0_range50-flw0-rtt,L,L
7,0.22034856734189556,0.09712059863261564,Link_Error_0_range50-flw1-rtt,L,L
8,0.2362133804285677,0.09078137648976861,Link_Error_0_range50-flw2-rtt,L,L
3,0.17314495642375546,0.08333333333333331,Link_Error_3_range50-flw0-rtt,L,L
4,0.162754411139824,2.4592542997444493,Link_Error_3_range50-flw1-rtt,L,T
5,0.13852215553108882,0.13813186357436816,Link_Error_3_range50-flw2-rtt,L,L
15,0.26498018407602486,0.06333333333333332,Link_Error_9_range50-flw0-rtt,L,L
16,0.328711563590175,0.056917515437955334,Link_Error_9_range50-flw1-rtt,L,L
17,0.17340228615941122,0.13105815040051874,Link_Error_9_range50-flw2-rtt,L,L
18,0.6812009266516337,0.07666666666666666,Normal_0_range50-flw0-rtt,N,N
19,0.6508112669729457,0.08382009618993069,Normal_0_range50-flw1-rtt,N,N
20,0.655077832391928,0.08410207394705128,Normal_0_range50-flw2-rtt,N,N
9,0.5664369487407124,0.12999999999999998,Normal_3_range50-flw0-rtt,N,N
10,0.7810483224049551,0.04365084521635257,Normal_3_range50-flw1-rtt,N,N
11,0.7306339924948672,0.057243330251285085,Normal_3_range50-flw2-rtt,N,N
21,0.5954197428952538,0.10999999999999999,Normal_7_range50-flw0-rtt,N,N
22,0.5979005320159907,0.15070437718854152,Normal_7_range50-flw1-rtt,N,N
23,0.5964666753230669,0.1914693163870224,Normal_7_range50-flw2-rtt,N,N
12,0.20461595921209152,0.6099999999999999,TCP_Congestion_2_range50-flw0-rtt,T,T
13,0.3135834906458596,0.6136454014168099,TCP_Congestion_2_range50-flw1-rtt,T,T
14,0.23393636070312065,0.6153373748557613,TCP_Congestion_2_range50-flw2-rtt,T,T
0,0.14502338856532113,0.1633333333333333,TCP_Congestion_6_range50-flw0-rtt,T,L
1,0.11443819590100436,0.30500288864548986,TCP_Congestion_6_range50-flw1-rtt,T,T
2,0.24592036980802381,0.1578888155695034,TCP_Congestion_6_range50-flw2-rtt,T,L
24,0.2749325497799579,0.33666666666666667,TCP_Congestion_9_range50-flw0-rtt,T,T
25,0.19250903686902798,0.3388831545310876,TCP_Congestion_9_range50-flw1-rtt,T,T
26,0.19641316185028582,0.33990959683591954,TCP_Congestion_9_range50-flw2-rtt,T,T
