,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
15,0.24987401214091975,0.08999999999999998,0.12300741874675196,0.18999999999999997,Link_Error_4_range50-flw0-rtt,L,L
16,0.2517213984289615,0.31804717161822027,0.14552510554403014,0.1640453832557136,Link_Error_4_range50-flw1-rtt,L,T
17,0.25133606070635595,0.06387962765035735,0.15975322927807542,0.10422465564005673,Link_Error_4_range50-flw2-rtt,L,L
21,0.17850810985565316,0.04333333333333333,0.13850207764143205,0.12333333333333332,Link_Error_6_range50-flw0-rtt,L,L
22,0.5025535092208699,0.036831446876849,0.1721997866328367,0.08370783381102045,Link_Error_6_range50-flw1-rtt,L,L
23,0.33031315950732815,0.06391757619975898,0.2862842571418454,0.1042865716943436,Link_Error_6_range50-flw2-rtt,L,L
9,0.26498018407602486,0.06333333333333332,0.26246836476153473,0.12999999999999998,Link_Error_9_range50-flw0-rtt,L,L
10,0.328711563590175,0.056917515437955334,0.30274484856814143,0.10379076344568325,Link_Error_9_range50-flw1-rtt,L,L
11,0.17340228615941122,0.13105815040051874,0.17276844382153006,0.09073256566189758,Link_Error_9_range50-flw2-rtt,L,L
3,0.7803203543239953,0.04333333333333333,0.12384256791815923,0.08999999999999998,Normal_4_range50-flw0-rtt,N,N
4,0.6192919954090449,0.10389511848115525,0.158518513582218,0.2111416923971865,Normal_4_range50-flw1-rtt,N,N
5,0.605740091384786,0.10424448924117848,0.16049686168965843,0.2051262530229641,Normal_4_range50-flw2-rtt,N,N
0,0.4752816935092991,0.17666666666666664,0.07477586160025265,0.12333333333333332,Normal_6_range50-flw0-rtt,N,L
1,0.7808238655434471,0.0436567087616966,0.10827448428655576,0.09067162588967755,Normal_6_range50-flw1-rtt,N,N
2,0.585677301901523,0.20487823129496172,0.14675075773247248,0.41983244117820023,Normal_6_range50-flw2-rtt,N,N
6,0.6381170019214999,0.08333333333333331,0.213117749452631,0.1633333333333333,Normal_9_range50-flw0-rtt,N,N
7,0.5959139529922949,0.19751080810944566,0.12404481706880344,0.39836925703430565,Normal_9_range50-flw1-rtt,N,N
8,0.7372335729109982,0.05723947545340651,0.22112051520997023,0.11111192293896557,Normal_9_range50-flw2-rtt,N,N
24,0.23625123462739805,0.5233333333333333,0.07954799183871972,0.4033333333333333,TCP_Congestion_3_range50-flw0-rtt,T,T
25,0.3210381072060153,0.5264608088657877,0.06891308956978358,0.47951525903062203,TCP_Congestion_3_range50-flw1-rtt,T,T
26,0.44482384446306006,0.5285166191377617,0.07246906787932397,0.4813877486414009,TCP_Congestion_3_range50-flw2-rtt,T,T
18,0.2923624087160855,0.43666666666666665,0.11520296325402761,0.48333333333333334,TCP_Congestion_7_range50-flw0-rtt,T,T
19,0.22641756063889587,0.4389229795043406,0.11413813203805917,0.06366058481360666,TCP_Congestion_7_range50-flw1-rtt,T,T
20,0.39390930473435953,0.44116978964923403,0.1905382504967622,0.4883177061002972,TCP_Congestion_7_range50-flw2-rtt,T,T
12,0.2749325497799579,0.33666666666666667,0.1899357062144465,0.26333333333333336,TCP_Congestion_9_range50-flw0-rtt,T,T
13,0.19250903686902798,0.3388831545310876,0.12079808663240706,0.13756642906707514,TCP_Congestion_9_range50-flw1-rtt,T,T
14,0.19641316185028582,0.33990959683591954,0.1314491059661784,0.1985610516170223,TCP_Congestion_9_range50-flw2-rtt,T,T
