,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
12,0.17314495642375546,0.08333333333333331,0.1699596192766062,0.09666666666666665,Link_Error_3_range50-flw0-rtt,L,L
13,0.162754411139824,2.4592542997444493,0.07106777821212486,0.08387634037327589,Link_Error_3_range50-flw1-rtt,L,T
14,0.13852215553108882,0.13813186357436816,0.10885841891859784,0.24594209855924087,Link_Error_3_range50-flw2-rtt,L,L
21,0.3177258069000951,0.06333333333333332,0.26064389632046414,0.11666666666666665,Link_Error_7_range50-flw0-rtt,L,L
22,0.44097750432933475,0.07715587865902948,0.22392463372377852,0.12412032653843873,Link_Error_7_range50-flw1-rtt,L,L
23,0.1013877915047222,0.05044427449581535,0.09463811459236858,0.2522213724790768,Link_Error_7_range50-flw2-rtt,L,L
24,0.08675801734329462,0.056666666666666664,0.07937038125914816,0.2033333333333333,Link_Error_8_range50-flw0-rtt,L,L
25,0.35203690242388946,0.03685365844424693,0.20954724788202397,0.1574656315345096,Link_Error_8_range50-flw1-rtt,L,L
26,0.31695614860491406,0.1381225566835602,0.2563312732949141,0.09769644253227429,Link_Error_8_range50-flw2-rtt,L,L
6,0.7105115647868145,0.056666666666666664,0.2204783298481406,0.10333333333333332,Normal_2_range50-flw0-rtt,N,N
7,0.5970483937936988,0.11058320476360277,0.19144723986665274,0.21781540332224786,Normal_2_range50-flw1-rtt,N,N
8,0.6170457180726924,0.10424448924117848,0.15548084059136932,0.2051262530229641,Normal_2_range50-flw2-rtt,N,N
9,0.7803203543239953,0.04333333333333333,0.12384256791815923,0.08999999999999998,Normal_4_range50-flw0-rtt,N,N
10,0.6192919954090449,0.10389511848115525,0.158518513582218,0.2111416923971865,Normal_4_range50-flw1-rtt,N,N
11,0.605740091384786,0.10424448924117848,0.16049686168965843,0.2051262530229641,Normal_4_range50-flw2-rtt,N,N
0,0.577115556695574,0.12333333333333332,0.20742746590065025,0.24333333333333332,Normal_8_range50-flw0-rtt,N,N
1,0.6519665815744221,0.09051356491597677,0.245397649758686,0.17767477557580627,Normal_8_range50-flw1-rtt,N,N
2,0.7806672455961404,0.04380381108656264,0.12315374966789124,0.09097714610286087,Normal_8_range50-flw2-rtt,N,N
15,0.20461595921209152,0.6099999999999999,0.06827799872321243,0.3833333333333333,TCP_Congestion_2_range50-flw0-rtt,T,T
16,0.3135834906458596,0.6136454014168099,0.09836040583220411,0.11736387458791447,TCP_Congestion_2_range50-flw1-rtt,T,T
17,0.23393636070312065,0.6153373748557613,0.07263661754133414,0.18493746238834358,TCP_Congestion_2_range50-flw2-rtt,T,T
3,0.11825410963241059,0.3233333333333333,0.1177171250504938,0.37,TCP_Congestion_4_range50-flw0-rtt,T,T
4,0.12236840028206376,0.7485787996508737,0.09745876513538224,0.3726109720235291,TCP_Congestion_4_range50-flw1-rtt,T,T
5,0.08140242179888206,0.6624123652818852,0.0760980337204805,0.3194374350344116,TCP_Congestion_4_range50-flw2-rtt,T,T
18,0.20554944733340805,0.7299999999999999,0.09538679872209593,0.30333333333333334,TCP_Congestion_8_range50-flw0-rtt,T,T
19,0.12395107584230242,0.7270221711274166,0.10030571531240476,0.6533148542389228,TCP_Congestion_8_range50-flw1-rtt,T,T
20,0.19493368098599437,0.7299568891497896,0.13555271447270117,0.6559520432452026,TCP_Congestion_8_range50-flw2-rtt,T,T
