,0,1,2,name,label,pred
15,0.1482921519118241,0.13666666666666666,152640.0,Link_Error_1_range50-flw0-rtt,L,L
16,0.26673465397366747,0.06369473086679847,30240.0,Link_Error_1_range50-flw1-rtt,L,L
17,0.08880607607162505,0.17157977502392613,214560.0,Link_Error_1_range50-flw2-rtt,L,T
18,0.17314495642375546,0.08333333333333331,151200.0,Link_Error_3_range50-flw0-rtt,L,L
19,0.162754411139824,2.4592542997444493,126720.0,Link_Error_3_range50-flw1-rtt,L,T
20,0.13852215553108882,0.13813186357436816,43200.0,Link_Error_3_range50-flw2-rtt,L,L
24,0.11586214001659301,0.056666666666666664,151200.0,Link_Error_5_range50-flw0-rtt,L,L
25,0.2638779780433013,0.09048323173127633,126720.0,Link_Error_5_range50-flw1-rtt,L,L
26,0.12838702363461837,0.05713559180020907,43200.0,Link_Error_5_range50-flw2-rtt,L,L
0,0.6218253058115922,0.08999999999999998,152640.0,Normal_5_range50-flw0-rtt,N,N
1,0.5861913866514838,0.11726949834085437,149760.0,Normal_5_range50-flw1-rtt,N,N
2,0.5981044222942331,0.11095501570971719,149760.0,Normal_5_range50-flw2-rtt,N,N
9,0.577115556695574,0.12333333333333332,152640.0,Normal_8_range50-flw0-rtt,N,N
10,0.6519665815744221,0.09051356491597677,30240.0,Normal_8_range50-flw1-rtt,N,N
11,0.7806672455961404,0.04380381108656264,214560.0,Normal_8_range50-flw2-rtt,N,N
3,0.6381170019214999,0.08333333333333331,152640.0,Normal_9_range50-flw0-rtt,N,N
4,0.5959139529922949,0.19751080810944566,149760.0,Normal_9_range50-flw1-rtt,N,N
5,0.7372335729109982,0.05723947545340651,149760.0,Normal_9_range50-flw2-rtt,N,N
6,0.19272096153006116,0.43666666666666665,152640.0,TCP_Congestion_5_range50-flw0-rtt,T,T
7,0.39288837278500877,0.4464917714755744,149760.0,TCP_Congestion_5_range50-flw1-rtt,T,T
8,0.3343602484407545,0.44799572942176247,149760.0,TCP_Congestion_5_range50-flw2-rtt,T,T
21,0.20554944733340805,0.7299999999999999,151200.0,TCP_Congestion_8_range50-flw0-rtt,T,T
22,0.12395107584230242,0.7270221711274166,126720.0,TCP_Congestion_8_range50-flw1-rtt,T,T
23,0.19493368098599437,0.7299568891497896,43200.0,TCP_Congestion_8_range50-flw2-rtt,T,T
12,0.2749325497799579,0.33666666666666667,152640.0,TCP_Congestion_9_range50-flw0-rtt,T,T
13,0.19250903686902798,0.3388831545310876,30240.0,TCP_Congestion_9_range50-flw1-rtt,T,T
14,0.19641316185028582,0.33990959683591954,214560.0,TCP_Congestion_9_range50-flw2-rtt,T,T
