,0,1,2,name,label,pred
12,0.2946277338416856,0.04333333333333333,279360.0,Link_Error_0_range50-flw0-rtt,L,L
13,0.22034856734189556,0.09712059863261564,152640.0,Link_Error_0_range50-flw1-rtt,L,L
14,0.2362133804285677,0.09078137648976861,152640.0,Link_Error_0_range50-flw2-rtt,L,L
18,0.11586214001659301,0.056666666666666664,151200.0,Link_Error_5_range50-flw0-rtt,L,L
19,0.2638779780433013,0.09048323173127633,156960.0,Link_Error_5_range50-flw1-rtt,L,L
20,0.12838702363461837,0.05713559180020907,277920.0,Link_Error_5_range50-flw2-rtt,L,L
3,0.17850810985565316,0.04333333333333333,227520.0,Link_Error_6_range50-flw0-rtt,L,L
4,0.5025535092208699,0.036831446876849,309600.0,Link_Error_6_range50-flw1-rtt,L,N
5,0.33031315950732815,0.06391757619975898,279360.0,Link_Error_6_range50-flw2-rtt,L,L
21,0.5664369487407124,0.12999999999999998,151200.0,Normal_3_range50-flw0-rtt,N,N
22,0.7810483224049551,0.04365084521635257,156960.0,Normal_3_range50-flw1-rtt,N,N
23,0.7306339924948672,0.057243330251285085,277920.0,Normal_3_range50-flw2-rtt,N,N
9,0.5954197428952538,0.10999999999999999,279360.0,Normal_7_range50-flw0-rtt,N,N
10,0.5979005320159907,0.15070437718854152,152640.0,Normal_7_range50-flw1-rtt,N,N
11,0.5964666753230669,0.1914693163870224,152640.0,Normal_7_range50-flw2-rtt,N,N
15,0.6381170019214999,0.08333333333333331,279360.0,Normal_9_range50-flw0-rtt,N,N
16,0.5959139529922949,0.19751080810944566,152640.0,Normal_9_range50-flw1-rtt,N,N
17,0.7372335729109982,0.05723947545340651,152640.0,Normal_9_range50-flw2-rtt,N,N
6,0.10700017930156976,0.5366666666666666,227520.0,TCP_Congestion_0_range50-flw0-rtt,T,T
7,0.19342868142914169,0.5462140114080984,309600.0,TCP_Congestion_0_range50-flw1-rtt,T,T
8,0.24999286885854316,0.548714706493345,279360.0,TCP_Congestion_0_range50-flw2-rtt,T,T
24,0.20554944733340805,0.7299999999999999,151200.0,TCP_Congestion_8_range50-flw0-rtt,T,T
25,0.12395107584230242,0.7270221711274166,156960.0,TCP_Congestion_8_range50-flw1-rtt,T,T
26,0.19493368098599437,0.7299568891497896,277920.0,TCP_Congestion_8_range50-flw2-rtt,T,T
0,0.2749325497799579,0.33666666666666667,227520.0,TCP_Congestion_9_range50-flw0-rtt,T,T
1,0.19250903686902798,0.3388831545310876,309600.0,TCP_Congestion_9_range50-flw1-rtt,T,T
2,0.19641316185028582,0.33990959683591954,279360.0,TCP_Congestion_9_range50-flw2-rtt,T,T
